url,title,h1,status_code,content_type,canonical,robots_meta,depth,discovered_from,first_directory,second_directory,response_ms,final_url,fetched_at,error
https://www.insource.co.jp/bup/bup_newemployee-industry-knowledge.html,【研修セミナー公開講座】【内定者セミナー】仕事で役立つ業界知識と情報の集め方- 株式会社インソース,【内定者セミナー】仕事で役立つ業界知識と情報の集め方,200,text/html; charset=UTF-8,https://www.insource.co.jp/bup/bup_newemployee-industry-knowledge.html,,2,https://www.insource.co.jp/bup/bup_top.html,/bup/,/bup/bup_newemployee-industry-knowledge.html/,1602,https://www.insource.co.jp/bup/bup_newemployee-industry-knowledge.html,2026-09-03T03:30:34.033894+00:00,
https://www.insource.co.jp/bup/bup_newemployee-business-email.html,【研修セミナー公開講座】【内定者セミナー】文例から学ぶ！伝わるビジネスメールの書き方- 株式会社インソース,【内定者セミナー】文例から学ぶ！伝わるビジネスメールの書き方,200,text/html; charset=UTF-8,https://www.insource.co.jp/bup/bup_newemployee-business-email.html,,2,https://www.insource.co.jp/bup/bup_top.html,/bup/,/bup/bup_newemployee-business-email.html/,1593,https://www.insource.co.jp/bup/bup_newemployee-business-email.html,2026-09-03T03:30:36.504799+00:00,
https://www.insource.co.jp/bup/middle-history.html,公開講座 検索履歴【研修セミナー公開講座】- 株式会社インソース,,200,text/html; charset=UTF-8,https://www.insource.co.jp/bup/middle-history.html,noindex,2,https://www.insource.co.jp/bup/bup_top.html,/bup/,/bup/middle-history.html/,633,https://www.insource.co.jp/bup/middle-history.html,2026-09-03T03:30:38.970838+00:00,
https://www.insource.co.jp/bup/middle-skill-digital.html,公開講座 テーマで研修を探す～デジタルスキル ｜１名から参加できる公開型セミナー【研修セミナー公開講座】- 株式会社インソース,,200,text/html; charset=UTF-8,https://www.insource.co.jp/bup/middle-skill-digital.html,,2,https://www.insource.co.jp/bup/bup_top.html,/bup/,/bup/middle-skill-digital.html/,1257,https://www.insource.co.jp/bup/middle-skill-digital.html,2026-09-03T03:30:40.349330+00:00,
https://www.insource.co.jp/bup/copilot_optimization.html,【研修セミナー公開講座】（半日研修）業務効率化のためのCopilot研修～文書・Excel業務のコツをつかむ- 株式会社インソース,（半日研修）業務効率化のためのCopilot研修～文書・Excel業務のコツをつかむ,200,text/html; charset=UTF-8,https://www.insource.co.jp/bup/copilot_optimization.html,,2,https://www.insource.co.jp/bup/bup_top.html,/bup/,/bup/copilot_optimization.html/,1642,https://www.insource.co.jp/bup/copilot_optimization.html,2026-09-03T03:30:43.012943+00:00,
https://www.insource.co.jp/bup/bup_ai-agent.html,【研修セミナー公開講座】（半日研修）ＡＩエージェント基礎研修～自分専用の生成ＡＩで業務を自動化する- 株式会社インソース,（半日研修）ＡＩエージェント基礎研修～自分専用の生成ＡＩで業務を自動化する,200,text/html; charset=UTF-8,https://www.insource.co.jp/bup/bup_ai-agent.html,,2,https://www.insource.co.jp/bup/bup_top.html,/bup/,/bup/bup_ai-agent.html/,1645,https://www.insource.co.jp/bup/bup_ai-agent.html,2026-09-03T03:30:45.538733+00:00,
https://www.insource.co.jp/bup/bup-promotion-utilization.html,【研修セミナー公開講座】DX活用・推進研修- 株式会社インソース,DX活用・推進研修,200,text/html; charset=UTF-8,https://www.insource.co.jp/bup/bup-promotion-utilization.html,,2,https://www.insource.co.jp/bup/bup_top.html,/bup/,/bup/bup-promotion-utilization.html/,2491,https://www.insource.co.jp/bup/bup-promotion-utilization.html,2026-09-03T03:30:48.053035+00:00,
https://www.insource.co.jp/bup/bup_data_literacy_bunseki.html,【研修セミナー公開講座】【データリテラシー醸成シリーズ】データ分析力向上研修- 株式会社インソース,【データリテラシー醸成シリーズ】データ分析力向上研修,200,text/html; charset=UTF-8,https://www.insource.co.jp/bup/bup_data_literacy_bunseki.html,,2,https://www.insource.co.jp/bup/bup_top.html,/bup/,/bup/bup_data_literacy_bunseki.html/,1790,https://www.insource.co.jp/bup/bup_data_literacy_bunseki.html,2026-09-03T03:30:51.756801+00:00,
https://www.insource.co.jp/bup/bup_self-productivity-improvement.html,【研修セミナー公開講座】生産性向上研修～仕事の見える化でムダなく成果につなげる- 株式会社インソース,生産性向上研修～仕事の見える化でムダなく成果につなげる,200,text/html; charset=UTF-8,https://www.insource.co.jp/bup/bup_self-productivity-improvement.html,,2,https://www.insource.co.jp/bup/bup_top.html,/bup/,/bup/bup_self-productivity-improvement.html/,1952,https://www.insource.co.jp/bup/bup_self-productivity-improvement.html,2026-09-03T03:30:54.512165+00:00,
https://www.insource.co.jp/bup/bup_bunsho_logic.html,【研修セミナー公開講座】論理的で分かりやすい文書の書き方研修- 株式会社インソース,論理的で分かりやすい文書の書き方研修,200,text/html; charset=UTF-8,https://www.insource.co.jp/bup/bup_bunsho_logic.html,,2,https://www.insource.co.jp/bup/bup_top.html,/bup/,/bup/bup_bunsho_logic.html/,1684,https://www.insource.co.jp/bup/bup_bunsho_logic.html,2026-09-03T03:30:57.405562+00:00,
